Molecule1_KEGG,Molecule2_KEGG,Morgan_Tanimoto_Similarity
C05345,C00092,0.7644
C00354,C00092,0.733
C00354,C05345,0.95
C00111,C00092,0.1624
C00111,C05345,0.1554
C00111,C00354,0.1504
C00029,C00092,0.3575
C00029,C05345,0.3352
C00029,C00354,0.3383
C00029,C00111,0.0713
C01159,C00092,0.2301
C01159,C05345,0.2259
C01159,C00354,0.2189
C01159,C00111,0.3321
C01159,C00029,0.141
C00197,C00092,0.2292
C00197,C05345,0.222
C00197,C00354,0.2118
C00197,C00111,0.4043
C00197,C00029,0.1059
C00197,C01159,0.6352
C00631,C00092,0.1772
C00631,C05345,0.1723
C00631,C00354,0.167
C00631,C00111,0.3268
C00631,C00029,0.0982
C00631,C01159,0.668
C00631,C00197,0.4324
C00074,C00092,0.1501
C00074,C05345,0.1399
C00074,C00354,0.138
C00074,C00111,0.3069
C00074,C00029,0.0874
C00074,C01159,0.33
C00074,C00197,0.308
C00074,C00631,0.426
C00022,C00092,0.0374
C00022,C05345,0.0358
C00022,C00354,0.0341
C00022,C00111,0.1694
C00022,C00029,0.0229
C00022,C01159,0.1067
C00022,C00197,0.1576
C00022,C00631,0.1437
C00022,C00074,0.104
C00345,C00092,0.4333
C00345,C05345,0.4189
C00345,C00354,0.4033
C00345,C00111,0.2462
C00345,C00029,0.2072
C00345,C01159,0.35
C00345,C00197,0.4182
C00345,C00631,0.2893
C00345,C00074,0.2156
C00345,C00022,0.085
C00199,C00092,0.3702
C00199,C05345,0.3578
C00199,C00354,0.3444
C00199,C00111,0.31
C00199,C00029,0.1776
C00199,C01159,0.3499
C00199,C00197,0.427
C00199,C00631,0.2741
C00199,C00074,0.2226
C00199,C00022,0.0888
C00199,C00345,0.5988
C00117,C00092,0.7726
C00117,C05345,0.807
C00117,C00354,0.7667
C00117,C00111,0.1895
C00117,C00029,0.297
C00117,C01159,0.2464
C00117,C00197,0.2633
C00117,C00631,0.1879
C00117,C00074,0.1622
C00117,C00022,0.0386
C00117,C00345,0.4341
C00117,C00199,0.4213
C00279,C00092,0.3118
C00279,C05345,0.2984
C00279,C00354,0.2868
C00279,C00111,0.3786
C00279,C00029,0.1303
C00279,C01159,0.4203
C00279,C00197,0.5566
C00279,C00631,0.352
C00279,C00074,0.2791
C00279,C00022,0.099
C00279,C00345,0.5545
C00279,C00199,0.7114
C00279,C00117,0.3643
C04442,C00092,0.379
C04442,C05345,0.362
C04442,C00354,0.3491
C04442,C00111,0.2635
C04442,C00029,0.1921
C04442,C01159,0.3292
C04442,C00197,0.3875
C04442,C00631,0.2521
C04442,C00074,0.2098
C04442,C00022,0.1246
C04442,C00345,0.681
C04442,C00199,0.6361
C04442,C00117,0.3861
C04442,C00279,0.5213
C00227,C00092,0.1015
C00227,C05345,0.0994
C00227,C00354,0.0968
C00227,C00111,0.3529
C00227,C00029,0.0472
C00227,C01159,0.1992
C00227,C00197,0.2849
C00227,C00631,0.2796
C00227,C00074,0.2849
C00227,C00022,0.1443
C00227,C00345,0.1667
C00227,C00199,0.1845
C00227,C00117,0.1159
C00227,C00279,0.2376
C00227,C04442,0.1742
C00010,C00092,0.258
C00010,C05345,0.263
C00010,C00354,0.2708
C00010,C00111,0.071
C00010,C00029,0.6383
C00010,C01159,0.1464
C00010,C00197,0.1035
C00010,C00631,0.1006
C00010,C00074,0.0909
C00010,C00022,0.0218
C00010,C00345,0.1987
C00010,C00199,0.1686
C00010,C00117,0.2319
C00010,C00279,0.1254
C00010,C04442,0.186
C00010,C00227,0.0471
C00158,C00092,0.136
C00158,C05345,0.1293
C00158,C00354,0.126
C00158,C00111,0.0856
C00158,C00029,0.1128
C00158,C01159,0.1414
C00158,C00197,0.1561
C00158,C00631,0.1558
C00158,C00074,0.0901
C00158,C00022,0.1142
C00158,C00345,0.299
C00158,C00199,0.2438
C00158,C00117,0.1361
C00158,C00279,0.1858
C00158,C04442,0.2614
C00158,C00227,0.0639
C00158,C00010,0.1145
C00451,C00092,0.1317
C00451,C05345,0.1271
C00451,C00354,0.124
C00451,C00111,0.0686
C00451,C00029,0.1119
C00451,C01159,0.1493
C00451,C00197,0.1548
C00451,C00631,0.1581
C00451,C00074,0.1003
C00451,C00022,0.1092
C00451,C00345,0.3013
C00451,C00199,0.2575
C00451,C00117,0.1313
C00451,C00279,0.1766
C00451,C04442,0.2643
C00451,C00227,0.0578
C00451,C00010,0.12
C00451,C00158,0.6706
C00026,C00092,0.0641
C00026,C05345,0.0575
C00026,C00354,0.0569
C00026,C00111,0.1202
C00026,C00029,0.0531
C00026,C01159,0.1039
C00026,C00197,0.1256
C00026,C00631,0.1212
C00026,C00074,0.0913
C00026,C00022,0.375
C00026,C00345,0.1496
C00026,C00199,0.1672
C00026,C00117,0.0642
C00026,C00279,0.1198
C00026,C04442,0.2706
C00026,C00227,0.0962
C00026,C00010,0.054
C00026,C00158,0.2408
C00026,C00451,0.2362
C00042,C00092,0.0438
C00042,C05345,0.0418
C00042,C00354,0.0419
C00042,C00111,0.1103
C00042,C00029,0.027
C00042,C01159,0.0875
C00042,C00197,0.1257
C00042,C00631,0.1264
C00042,C00074,0.0884
C00042,C00022,0.3929
C00042,C00345,0.1229
C00042,C00199,0.0992
C00042,C00117,0.0486
C00042,C00279,0.1244
C00042,C04442,0.122
C00042,C00227,0.1359
C00042,C00010,0.0269
C00042,C00158,0.2019
C00042,C00451,0.1927
C00042,C00026,0.3529
C00122,C00092,0.0324
C00122,C05345,0.031
C00122,C00354,0.0295
C00122,C00111,0.0857
C00122,C00029,0.0228
C00122,C01159,0.0789
C00122,C00197,0.0879
C00122,C00631,0.0899
C00122,C00074,0.1512
C00122,C00022,0.2154
C00122,C00345,0.0594
C00122,C00199,0.0509
C00122,C00117,0.0301
C00122,C00279,0.0583
C00122,C04442,0.0573
C00122,C00227,0.1456
C00122,C00010,0.0239
C00122,C00158,0.0726
C00122,C00451,0.083
C00122,C00026,0.121
C00122,C00042,0.2143
C00149,C00092,0.0807
C00149,C05345,0.0774
C00149,C00354,0.0759
C00149,C00111,0.12
C00149,C00029,0.0509
C00149,C01159,0.1533
C00149,C00197,0.2161
C00149,C00631,0.2136
