Molecule1_KEGG,Molecule2_KEGG,USRCAT_Score
C05345,C00092,0.6221
C00354,C00092,0.3284
C00354,C05345,0.3775
C00111,C00092,0.388
C00111,C05345,0.3619
C00111,C00354,0.2478
C00029,C00092,0.0634
C00029,C05345,0.0637
C00029,C00354,0.0699
C00029,C00111,0.0594
C01159,C00092,0.4668
C01159,C05345,0.4059
C01159,C00354,0.2522
C01159,C00111,0.429
C01159,C00029,0.0599
C00197,C00092,0.4094
C00197,C05345,0.3626
C00197,C00354,0.233
C00197,C00111,0.4429
C00197,C00029,0.0588
C00197,C01159,0.5104
C00631,C00092,0.2918
C00631,C05345,0.279
C00631,C00354,0.195
C00631,C00111,0.3481
C00631,C00029,0.0557
C00631,C01159,0.3466
C00631,C00197,0.3871
C00074,C00092,0.2391
C00074,C05345,0.2184
C00074,C00354,0.1635
C00074,C00111,0.2777
C00074,C00029,0.0592
C00074,C01159,0.2826
C00074,C00197,0.3302
C00074,C00631,0.3029
C00022,C00092,0.1635
C00022,C05345,0.1624
C00022,C00354,0.1297
C00022,C00111,0.1845
C00022,C00029,0.0516
C00022,C01159,0.1908
C00022,C00197,0.2056
C00022,C00631,0.2408
C00022,C00074,0.2394
C00345,C00092,0.4394
C00345,C05345,0.4496
C00345,C00354,0.429
C00345,C00111,0.3138
C00345,C00029,0.0664
C00345,C01159,0.315
C00345,C00197,0.2826
C00345,C00631,0.2291
C00345,C00074,0.1885
C00345,C00022,0.145
C00199,C00092,0.4576
C00199,C05345,0.5416
C00199,C00354,0.3768
C00199,C00111,0.3567
C00199,C00029,0.0645
C00199,C01159,0.3845
C00199,C00197,0.3415
C00199,C00631,0.2568
C00199,C00074,0.2094
C00199,C00022,0.1583
C00199,C00345,0.5041
C00117,C00092,0.4693
C00117,C05345,0.5685
C00117,C00354,0.3103
C00117,C00111,0.3867
C00117,C00029,0.0611
C00117,C01159,0.4808
C00117,C00197,0.414
C00117,C00631,0.3126
C00117,C00074,0.2372
C00117,C00022,0.1739
C00117,C00345,0.3467
C00117,C00199,0.435
C00279,C00092,0.3963
C00279,C05345,0.3849
C00279,C00354,0.2414
C00279,C00111,0.3952
C00279,C00029,0.059
C00279,C01159,0.4986
C00279,C00197,0.4938
C00279,C00631,0.3848
C00279,C00074,0.2774
C00279,C00022,0.2016
C00279,C00345,0.3006
C00279,C00199,0.3649
C00279,C00117,0.4509
C04442,C00092,0.2594
C04442,C05345,0.2638
C04442,C00354,0.2711
C04442,C00111,0.1995
C04442,C00029,0.0697
C04442,C01159,0.2228
C04442,C00197,0.2022
C04442,C00631,0.1685
C04442,C00074,0.2012
C04442,C00022,0.1431
C04442,C00345,0.301
C04442,C00199,0.2732
C04442,C00117,0.2382
C04442,C00279,0.2034
C00227,C00092,0.186
C00227,C05345,0.1769
C00227,C00354,0.1388
C00227,C00111,0.2078
C00227,C00029,0.0547
C00227,C01159,0.2164
C00227,C00197,0.2445
C00227,C00631,0.2847
C00227,C00074,0.344
C00227,C00022,0.2828
C00227,C00345,0.1571
C00227,C00199,0.1706
C00227,C00117,0.1909
C00227,C00279,0.2159
C00227,C04442,0.1572
C00010,C00092,0.0776
C00010,C05345,0.0772
C00010,C00354,0.0872
C00010,C00111,0.0745
C00010,C00029,0.0953
C00010,C01159,0.0724
C00010,C00197,0.0699
C00010,C00631,0.0668
C00010,C00074,0.0714
C00010,C00022,0.0614
C00010,C00345,0.0848
C00010,C00199,0.0787
C00010,C00117,0.0739
C00010,C00279,0.0713
C00010,C04442,0.0904
C00010,C00227,0.0648
C00158,C00092,0.2453
C00158,C05345,0.2468
C00158,C00354,0.1773
C00158,C00111,0.2687
C00158,C00029,0.059
C00158,C01159,0.2952
C00158,C00197,0.359
C00158,C00631,0.2918
C00158,C00074,0.3869
C00158,C00022,0.2209
C00158,C00345,0.196
C00158,C00199,0.2299
C00158,C00117,0.2663
C00158,C00279,0.2932
C00158,C04442,0.2117
C00158,C00227,0.2522
C00158,C00010,0.073
C00451,C00092,0.2649
C00451,C05345,0.248
C00451,C00354,0.1782
C00451,C00111,0.2765
C00451,C00029,0.0591
C00451,C01159,0.3445
C00451,C00197,0.3484
C00451,C00631,0.2887
C00451,C00074,0.3701
C00451,C00022,0.2087
C00451,C00345,0.2084
C00451,C00199,0.2355
C00451,C00117,0.2796
C00451,C00279,0.3193
C00451,C04442,0.2118
C00451,C00227,0.2402
C00451,C00010,0.0738
C00451,C00158,0.4449
C00026,C00092,0.2746
C00026,C05345,0.259
C00026,C00354,0.185
C00026,C00111,0.2813
C00026,C00029,0.0596
C00026,C01159,0.302
C00026,C00197,0.3337
C00026,C00631,0.2725
C00026,C00074,0.3295
C00026,C00022,0.2045
C00026,C00345,0.2204
C00026,C00199,0.238
C00026,C00117,0.2735
C00026,C00279,0.2915
C00026,C04442,0.2191
C00026,C00227,0.2368
C00026,C00010,0.0747
C00026,C00158,0.3659
C00026,C00451,0.5181
C00042,C00092,0.2334
C00042,C05345,0.232
C00042,C00354,0.1708
C00042,C00111,0.2784
C00042,C00029,0.0572
C00042,C01159,0.2869
C00042,C00197,0.3256
C00042,C00631,0.3013
C00042,C00074,0.3728
C00042,C00022,0.2592
C00042,C00345,0.1982
C00042,C00199,0.2242
C00042,C00117,0.2567
C00042,C00279,0.2976
C00042,C04442,0.1919
C00042,C00227,0.2604
C00042,C00010,0.0703
C00042,C00158,0.3904
C00042,C00451,0.4403
C00042,C00026,0.437
C00122,C00092,0.2276
C00122,C05345,0.2263
C00122,C00354,0.1677
C00122,C00111,0.2702
C00122,C00029,0.0568
C00122,C01159,0.2783
C00122,C00197,0.3145
C00122,C00631,0.3007
C00122,C00074,0.3585
C00122,C00022,0.2521
C00122,C00345,0.1972
C00122,C00199,0.2188
C00122,C00117,0.2497
C00122,C00279,0.2883
C00122,C04442,0.1881
C00122,C00227,0.2533
C00122,C00010,0.0708
C00122,C00158,0.3748
C00122,C00451,0.4203
C00122,C00026,0.4172
C00122,C00042,0.9013
C00149,C00092,0.2523
C00149,C05345,0.2289
C00149,C00354,0.1691
C00149,C00111,0.2902
C00149,C00029,0.0578
C00149,C01159,0.3066
C00149,C00197,0.3401
C00149,C00631,0.3375
C00149,C00074,0.5032
C00149,C00022,0.2478
C00149,C00345,0.1957
C00149,C00199,0.2184
C00149,C00117,0.2492
C00149,C00279,0.306
C00149,C04442,0.1897
C00149,C00227,0.3106
C00149,C00010,0.0694
C00149,C00158,0.3965
C00149,C00451,0.3998
C00149,C00026,0.3533
C00149,C00042,0.4148
C00149,C00122,0.3971
C00036,C00092,0.2486
C00036,C05345,0.2312
C00036,C00354,0.1703
C00036,C00111,0.283
C00036,C00029,0.058
C00036,C01159,0.3006
C00036,C00197,0.3421
C00036,C00631,0.3287
C00036,C00074,0.4648
C00036,C00022,0.256
C00036,C00345,0.1986
C00036,C00199,0.2204
C00036,C00117,0.2557
C00036,C00279,0.2944
C00036,C04442,0.1984
C00036,C00227,0.3139
C00036,C00010,0.0697
C00036,C00158,0.3841
C00036,C00451,0.4142
C00036,C00026,0.4218
C00036,C00042,0.526
C00036,C00122,0.4977
C00036,C00149,0.6385
C00048,C00092,0.1926
C00048,C05345,0.1911
C00048,C00354,0.1474
C00048,C00111,0.2267
C00048,C00029,0.0511
C00048,C01159,0.2282
C00048,C00197,0.2505
C00048,C00631,0.3132
C00048,C00074,0.2225
C00048,C00022,0.3932
C00048,C00345,0.1674
C00048,C00199,0.1855
C00048,C00117,0.2072
C00048,C00279,0.247
C00048,C04442,0.1352
C00048,C00227,0.2894
C00048,C00010,0.0599
C00048,C00158,0.2085
C00048,C00451,0.2096
C00048,C00026,0.2096
C00048,C00042,0.2658
C00048,C00122,0.2584
C00048,C00149,0.25
C00048,C00036,0.2566
C00003,C00092,0.0615
C00003,C05345,0.0614
C00003,C00354,0.0672
C00003,C00111,0.057
C00003,C00029,0.1493
C00003,C01159,0.058
C00003,C00197,0.0572
C00003,C00631,0.0544
C00003,C00074,0.0571
C00003,C00022,0.0497
C00003,C00345,0.0636
C00003,C00199,0.0616
C00003,C00117,0.0589
C00003,C00279,0.0572
C00003,C04442,0.0664
C00003,C00227,0.0537
C00003,C00010,0.109
C00003,C00158,0.0576
C00003,C00451,0.0582
C00003,C00026,0.0594
C00003,C00042,0.0558
C00003,C00122,0.0555
C00003,C00149,0.056
C00003,C00036,0.0563
C00003,C00048,0.0497
C00006,C00092,0.0594
C00006,C05345,0.0593
C00006,C00354,0.0645
C00006,C00111,0.0551
C00006,C00029,0.1714
C00006,C01159,0.0566
C00006,C00197,0.0554
C00006,C00631,0.053
C00006,C00074,0.0551
C00006,C00022,0.0485
C00006,C00345,0.0612
C00006,C00199,0.0594
C00006,C00117,0.0575
C00006,C00279,0.0553
C00006,C04442,0.0647
C00006,C00227,0.0522
C00006,C00010,0.1028
C00006,C00158,0.0559
C00006,C00451,0.0569
C00006,C00026,0.0577
C00006,C00042,0.0543
C00006,C00122,0.054
C00006,C00149,0.0542
C00006,C00036,0.0548
C00006,C00048,0.0485
C00006,C00003,0.3372
C00020,C00092,0.1561
C00020,C05345,0.1625
C00020,C00354,0.202
C00020,C00111,0.1408
C00020,C00029,0.0772
C00020,C01159,0.1401
C00020,C00197,0.1296
C00020,C00631,0.1165
C00020,C00074,0.1049
C00020,C00022,0.0914
C00020,C00345,0.1809
C00020,C00199,0.1673
C00020,C00117,0.152
C00020,C00279,0.133
C00020,C04442,0.156
C00020,C00227,0.0957
C00020,C00010,0.1151
C00020,C00158,0.1095
C00020,C00451,0.1135
C00020,C00026,0.1159
C00020,C00042,0.1099
C00020,C00122,0.1086
